season,team,winrate
1937,Toronto Maple Leafs,0.5111111111111111
1937,Boston Bruins,0.5581395348837209
1937,Montreal Maroons,0.5609756097560976
1937,Detroit Red Wings,0.6341463414634146
1937,New York Rangers,0.4878048780487805
1937,Montreal Canadiens,0.5681818181818182
1937,Chicago Blackhawks,0.3488372093023256
1938,Montreal Maroons,0.29545454545454547
1938,Toronto Maple Leafs,0.6097560975609756
1938,Boston Bruins,0.7209302325581395
1938,New York Americans,0.5128205128205128
1938,Detroit Red Wings,0.3333333333333333
1938,New York Rangers,0.6363636363636364
1938,Montreal Canadiens,0.5135135135135135
1938,Chicago Blackhawks,0.36585365853658536
1939,New York Americans,0.45
1939,Toronto Maple Leafs,0.4878048780487805
1939,Boston Bruins,0.7708333333333334
1939,Detroit Red Wings,0.4318181818181818
1939,New York Rangers,0.6136363636363636
1939,Montreal Canadiens,0.3902439024390244
1939,Chicago Blackhawks,0.30952380952380953
1940,New York Americans,0.34782608695652173
1940,Toronto Maple Leafs,0.5909090909090909
1940,Boston Bruins,0.7111111111111111
1940,Detroit Red Wings,0.38636363636363635
1940,New York Rangers,0.7
1940,Montreal Canadiens,0.24444444444444444
1940,Chicago Blackhawks,0.5454545454545454
1941,New York Americans,0.23076923076923078
1941,Toronto Maple Leafs,0.6590909090909091
1941,Boston Bruins,0.7567567567567568
1941,Detroit Red Wings,0.5641025641025641
1941,New York Rangers,0.5238095238095238
1941,Montreal Canadiens,0.38636363636363635
1941,Chicago Blackhawks,0.3953488372093023
1942,New York Americans,0.3617021276595745
1942,Toronto Maple Leafs,0.5957446808510638
1942,Boston Bruins,0.5909090909090909
1942,Detroit Red Wings,0.43478260869565216
1942,New York Rangers,0.625
1942,Montreal Canadiens,0.40425531914893614
1942,Chicago Blackhawks,0.48936170212765956
1943,Toronto Maple Leafs,0.5348837209302325
1943,Boston Bruins,0.5813953488372093
1943,Detroit Red Wings,0.6341463414634146
1943,New York Rangers,0.2727272727272727
1943,Montreal Canadiens,0.5
1943,Chicago Blackhawks,0.4864864864864865
1944,Toronto Maple Leafs,0.5
1944,Boston Bruins,0.425531914893617
1944,Detroit Red Wings,0.5869565217391305
1944,New York Rangers,0.14893617021276595
1944,Montreal Canadiens,0.8666666666666667
1944,Chicago Blackhawks,0.48936170212765956
1945,Toronto Maple Leafs,0.5208333333333334
1945,Boston Bruins,0.3541666666666667
1945,Detroit Red Wings,0.6808510638297872
1945,New York Rangers,0.2857142857142857
1945,Montreal Canadiens,0.8125
1945,Chicago Blackhawks,0.3111111111111111
1946,Toronto Maple Leafs,0.4444444444444444
1946,Boston Bruins,0.5681818181818182
1946,Detroit Red Wings,0.5
1946,New York Rangers,0.32558139534883723
1946,Montreal Canadiens,0.6170212765957447
1946,Chicago Blackhawks,0.5333333333333333
1947,Toronto Maple Leafs,0.6153846153846154
1947,Boston Bruins,0.5294117647058824
1947,Detroit Red Wings,0.45098039215686275
1947,New York Rangers,0.4107142857142857
1947,Montreal Canadiens,0.6730769230769231
1947,Chicago Blackhawks,0.3448275862068966
1948,Toronto Maple Leafs,0.673469387755102
1948,Boston Bruins,0.4897959183673469
1948,Detroit Red Wings,0.62
1948,New York Rangers,0.4489795918367347
1948,Montreal Canadiens,0.4117647058823529
1948,Chicago Blackhawks,0.375
1949,Toronto Maple Leafs,0.46938775510204084
1949,Boston Bruins,0.5555555555555556
1949,Detroit Red Wings,0.6363636363636364
1949,New York Rangers,0.37254901960784315
1949,Montreal Canadiens,0.5471698113207547
1949,Chicago Blackhawks,0.4074074074074074
1950,Toronto Maple Leafs,0.5333333333333333
