date,season,location,team1,team2,score1,score2,result,elo_prob1
1920-12-11,1920,H,UAP,CBD,13,7,1.0,0.2710879119751707
1920-12-12,1920,H,CHI,AKR,0,0,0.5,0.4789294414332902
1920-12-18,1920,H,RIC,CBD,0,39,0.0,0.307469187915628
1920-12-19,1920,H,CST,ARI,14,14,0.5,0.3043499918961562
1921-09-25,1921,H,AKR,COL,14,0,1.0,0.7795702305735632
1921-10-02,1921,H,AKR,CCL,41,0,1.0,0.728771018358994
1921-10-02,1921,H,ARI,MNN,20,0,1.0,0.5907123998506881
1921-10-02,1921,H,BFF,HAM,17,0,1.0,0.7638000993823642
1921-10-02,1921,H,RII,DTI,0,0,0.5,0.8273104657062538
1921-10-02,1921,H,DAY,COL,42,13,1.0,0.7177130305917288
1921-10-02,1921,H,ECG,LOU,21,0,1.0,0.4301037895945261
1921-10-09,1921,H,CBD,HAM,7,7,0.5,0.7445848318411796
1921-10-09,1921,H,DTI,DAY,10,7,1.0,0.2695369239816663
1921-10-09,1921,H,BFF,COL,38,0,1.0,0.7727550050827636
1921-10-09,1921,H,ECG,MUN,14,0,1.0,0.4025135809267792
1921-10-09,1921,H,ARI,AKR,0,23,0.0,0.4490998389573102
1921-10-10,1921,H,CHI,RII,14,10,1.0,0.6584844289155444
1921-10-16,1921,H,MUN,CCL,0,14,0.0,0.5250570220154723
1921-10-16,1921,H,ARI,RII,7,14,0.0,0.6101655673915589
1921-10-16,1921,H,CTI,COL,35,9,1.0,0.6688887730334149
1921-10-16,1921,H,CHI,RCH,16,13,1.0,0.7134202815973444
1921-10-16,1921,H,BFF,NG1,55,0,1.0,0.8781535300894766
1921-10-16,1921,H,ECG,HAM,0,3,0.0,0.5401024206322547
1921-10-16,1921,H,DTI,AKR,0,20,0.0,0.1835543839176582
1921-10-16,1921,H,DAY,CBD,14,14,0.5,0.611408130473334
1921-10-23,1921,H,GB,MNN,7,6,1.0,0.4977276519811022
1921-10-23,1921,H,BFF,RCH,28,0,1.0,0.755260413464833
1921-10-23,1921,H,CBD,AKR,0,3,0.0,0.3795488033513305
1921-10-23,1921,H,CTI,CCL,28,0,1.0,0.5437249267832118
1921-10-23,1921,H,ARI,COL,17,6,1.0,0.7138531919329767
1921-10-23,1921,H,CHI,DAY,7,0,1.0,0.6483807661691039
1921-10-23,1921,H,DTI,RII,0,14,0.0,0.3261390439617119
1921-10-30,1921,H,DAY,CTI,3,2,1.0,0.5932832340668743
1921-10-30,1921,H,MNN,COL,28,0,1.0,0.7294770416045998
1921-10-30,1921,H,GB,RII,3,13,0.0,0.4371795672057785
1921-10-30,1921,H,AKR,RCH,19,0,1.0,0.8495090128802689
1921-10-30,1921,H,BFF,DTI,21,0,1.0,0.8890184527094621
1921-11-06,1921,H,RII,MNN,14,3,1.0,0.6723853862786576
1921-11-06,1921,H,ARI,HAM,7,0,1.0,0.678611056863766
1921-11-06,1921,H,CHI,DTI,20,9,1.0,0.8785066386826075
1921-11-06,1921,H,GB,ECG,43,6,1.0,0.6545642498889076
1921-11-06,1921,H,CBD,DAY,14,0,1.0,0.5804662109486513
1921-11-06,1921,H,BFF,CTI,10,6,1.0,0.7266425908287979
1921-11-06,1921,H,COL,AKR,0,21,0.0,0.1744657215979138
1921-11-06,1921,H,RCH,TON,45,0,1.0,0.5284063044920551
1921-11-13,1921,H,GB,HAM,14,7,1.0,0.6133689180996386
1921-11-13,1921,H,BFF,AKR,0,0,0.5,0.4811378314403178
1921-11-13,1921,H,CTI,CBD,0,7,0.0,0.5455437476364552
1921-11-13,1921,H,CHI,RII,3,0,1.0,0.6166305306397533
1921-11-13,1921,H,DAY,DTI,27,0,1.0,0.8196611312321836
1921-11-20,1921,H,RCH,COL,27,13,1.0,0.7532566424402186
1921-11-20,1921,H,ARI,GB,3,3,0.5,0.6717408911838079
1921-11-20,1921,H,CHI,CTI,22,7,1.0,0.7457358978191706
1921-11-20,1921,H,BFF,CBD,7,7,0.5,0.6793977307743809
1921-11-20,1921,H,DAY,AKR,3,0,1.0,0.3269543002568812
1921-11-24,1921,H,AKR,CBD,0,14,0.0,0.7405098665316118
1921-11-24,1921,H,CHI,BFF,6,7,0.0,0.5863603871817877
1921-11-27,1921,H,CHI,GB,20,0,1.0,0.77831933351256
1921-11-27,1921,H,BFF,DAY,7,0,1.0,0.7170781499354318
1921-11-27,1921,H,ECG,CCL,48,0,1.0,0.3775716432953696
1921-11-27,1921,H,SEN,CBD,0,15,0.0,0.2053269608448
1921-12-03,1921,H,NG1,CTI,0,17,0.0,0.3571772231336698
1921-12-03,1921,H,BFF,AKR,14,0,1.0,0.5930262390624423
1921-12-04,1921,H,CHI,BFF,10,7,1.0,0.5342161002399493
1921-12-04,1921,H,ARI,AKR,0,7,0.0,0.4292334241471903
1921-12-04,1921,H,LOU,COL,0,6,0.0,0.6603073595766215
1921-12-11,1921,H,SEN,CTI,7,0,1.0,0.3292474054239295
1921-12-11,1921,H,CHI,CBD,10,0,1.0,0.610157351844411
1921-12-18,1921,H,SEN,CBD,14,28,0.0,0.2318905736249148
1921-12-18,1921,H,CHI,ARI,0,0,0.5,0.7896778714848912
1922-10-01,1922,H,BFF,HAM,7,0,1.0,0.7884399650790559
1922-10-01,1922,H,DAY,OOR,36,0,1.0,0.8292133938374656
1922-10-01,1922,H,ARI,MIL,3,0,1.0,0.8143504709461228
1922-10-01,1922,H,CBD,LOU,38,0,1.0,0.7933672072168062
1922-10-01,1922,H,RII,GB,19,14,1.0,0.6995794950978008
1922-10-01,1922,H,AKR,COL,36,0,1.0,0.8046305992859485
1922-10-01,1922,H,TOL,ECG,15,0,1.0,0.7006756611079398
1922-10-01,1922,H,RAC,CHI,0,6,0.0,0.4541494269781893
1922-10-08,1922,H,OOR,COL,20,6,1.0,0.4455988847697282
1922-10-08,1922,H,DAY,CBD,0,0,0.5,0.5012923230056885
1922-10-08,1922,H,GB,RAC,6,10,0.0,0.5518015125380423
1922-10-08,1922,H,TOL,MIL,12,12,0.5,0.841569900746951
1922-10-08,1922,H,RII,CHI,6,10,0.0,0.509150314903685
1922-10-12,1922,H,AKR,RCH,13,13,0.5,0.7318006183986098
1922-10-15,1922,H,CHI,RCH,7,0,1.0,0.7521540621303711
1922-10-15,1922,H,MIL,RAC,20,0,1.0,0.3302474005493661
1922-10-15,1922,H,CBD,OOR,14,0,1.0,0.8698532075145711
1922-10-15,1922,H,DAY,MNN,17,0,1.0,0.6406204830631833
1922-10-15,1922,H,TOL,HAM,14,0,1.0,0.7062007539879077
1922-10-15,1922,H,ARI,GB,16,3,1.0,0.682333362268822
1922-10-15,1922,H,RII,ECG,60,0,1.0,0.7497975677153701
1922-10-15,1922,H,BFF,COL,19,0,1.0,0.8532252932591823
1922-10-22,1922,H,CHI,BFF,7,0,1.0,0.6244999992602788
1922-10-22,1922,H,AKR,CBD,0,22,0.0,0.5931220972150324
1922-10-22,1922,H,RAC,TOL,0,7,0.0,0.4863159887549924
1922-10-22,1922,H,ARI,MNN,3,0,1.0,0.6560088869466268
1922-10-22,1922,H,DAY,HAM,20,0,1.0,0.7570446382383244
1922-10-22,1922,H,MIL,GB,0,0,0.5,0.5016780025868239
1922-10-22,1922,H,RII,RCH,26,0,1.0,0.6784942866628162
1922-10-29,1922,H,DAY,BFF,0,7,0.0,0.5344123304950869
1922-10-29,1922,H,ARI,COL,37,6,1.0,0.7923490048352182
1922-10-29,1922,H,GB,RII,0,0,0.5,0.3687978976712825
1922-10-29,1922,H,RAC,RCH,9,0,1.0,0.5414033152617352
1922-10-29,1922,H,AKR,OOR,62,0,1.0,0.8522385410489223
1922-10-29,1922,H,TOL,LOU,39,0,1.0,0.781728927222911
1922-10-29,1922,H,MIL,HAM,0,0,0.5,0.528298717872614
1922-10-29,1922,H,CHI,CBD,6,7,0.0,0.618912744208407
1922-11-05,1922,H,AKR,HAM,22,0,1.0,0.7931566851743536
1922-11-05,1922,H,ARI,BFF,9,7,1.0,0.4740989755125109
1922-11-05,1922,H,GB,COL,3,0,1.0,0.6926999375652645
1922-11-05,1922,H,CHI,DAY,9,0,1.0,0.7302386095516578
1922-11-05,1922,H,RAC,LOU,57,0,1.0,0.6940694101332828
1922-11-05,1922,H,MNN,OOR,13,6,1.0,0.7784921039744471
1922-11-05,1922,H,CBD,TOL,0,0,0.5,0.6952208330133459
1922-11-11,1922,H,RAC,COL,34,0,1.0,0.7668191215788603
1922-11-12,1922,H,RII,DAY,43,0,1.0,0.6563011052091885
1922-11-12,1922,H,CBD,BFF,3,0,1.0,0.6284494812015127
1922-11-12,1922,H,LOU,ECG,13,6,1.0,0.539925113157954
1922-11-12,1922,H,GB,MNN,14,6,1.0,0.536580167040733
1922-11-12,1922,H,CHI,OOR,33,6,1.0,0.9188459487597512
1922-11-12,1922,H,ARI,AKR,7,0,1.0,0.551153655699912
1922-11-19,1922,H,CHI,RII,3,0,1.0,0.6768684965766002
1922-11-19,1922,H,ARI,CBD,0,7,0.0,0.4819670706587426
1922-11-19,1922,H,BFF,AKR,3,3,0.5,0.6451692970693004
1922-11-19,1922,H,MIL,OOR,13,0,1.0,0.6703545623143469
1922-11-19,1922,H,RAC,GB,3,3,0.5,0.6527201840938102
1922-11-26,1922,H,RAC,HAM,6,0,1.0,0.722908441157773
1922-11-26,1922,H,TOL,COL,7,6,1.0,0.8584667501694144
1922-11-26,1922,H,CHI,AKR,20,10,1.0,0.7239634269166209
1922-11-26,1922,H,BFF,OOR,7,19,0.0,0.9007234925842852
1922-11-26,1922,H,GB,MIL,13,0,1.0,0.7035291028558455
1922-11-26,1922,H,CBD,ARI,20,3,1.0,0.7407675123971813
1922-11-30,1922,H,ARI,CHI,6,0,1.0,0.3860578844041383
1922-11-30,1922,H,CBD,AKR,14,0,1.0,0.7507973177699109
1922-11-30,1922,H,RAC,MIL,3,0,1.0,0.770195521141947
1922-11-30,1922,H,COL,OOR,6,18,0.0,0.5736566279978155
1922-11-30,1922,H,RCH,BFF,0,21,0.0,0.4643246053295786
1922-12-03,1922,H,RAC,GB,0,14,0.0,0.6420452460298736
1922-12-03,1922,H,BFF,AKR,16,0,1.0,0.629602018291135
1922-12-03,1922,H,ARI,DAY,3,7,0.0,0.6728822693572515
1922-12-03,1922,H,CHI,TOL,22,0,1.0,0.7021862134902842
1922-12-03,1922,H,CBD,MIL,40,6,1.0,0.9132841618363275
1922-12-10,1922,H,TOL,CBD,0,19,0.0,0.3890556095779269
1922-12-10,1922,H,ARI,CHI,9,0,1.0,0.3986089029975815
1923-09-30,1923,H,MIL,OOR,13,2,1.0,0.5733496807029927
1923-09-30,1923,H,RAC,TOL,7,7,0.5,0.5330270357406567
1923-09-30,1923,H,GB,MNN,12,0,1.0,0.6435850316376679
1923-09-30,1923,H,DUL,AKR,10,7,1.0,0.2993943669124904
1923-09-30,1923,H,ARI,BFF,3,0,1.0,0.5710725812252365
1923-09-30,1923,H,RII,CHI,3,0,1.0,0.5390212609177081
1923-09-30,1923,H,DAY,COL,7,6,1.0,0.7800673920334644
1923-09-30,1923,H,CBD,HAM,17,0,1.0,0.8440006523332682
1923-10-07,1923,H,HAM,DAY,7,0,1.0,0.439563380545905
1923-10-07,1923,H,MNN,DUL,0,10,0.0,0.7504223201862011
1923-10-07,1923,H,CBD,LOU,37,0,1.0,0.8518720916282764
1923-10-07,1923,H,ARI,RCH,60,0,1.0,0.7296973656293275
1923-10-07,1923,H,GB,SLA,0,0,0.5,0.8373490726691606
1923-10-07,1923,H,TOL,OOR,7,0,1.0,0.758411013825567
1923-10-07,1923,H,BFF,AKR,9,0,1.0,0.6650618916114979
1923-10-07,1923,H,RAC,CHI,0,3,0.0,0.4417725280972863
1923-10-07,1923,H,RII,CIB,0,0,0.5,0.8730560197669199
1923-10-07,1923,H,MIL,COL,0,0,0.5,0.6712037405700965
1923-10-14,1923,H,RII,RCH,56,0,1.0,0.757330393265486
1923-10-14,1923,H,ARI,AKR,19,0,1.0,0.7180359739051084
1923-10-14,1923,H,COL,BFF,0,3,0.0,0.3156562064683574
1923-10-14,1923,H,GB,CHI,0,3,0.0,0.4709539685872531
1923-10-14,1923,H,CBD,DAY,30,0,1.0,0.7948007503194999
1923-10-14,1923,H,SLA,HAM,0,0,0.5,0.4176214913614999
1923-10-14,1923,H,MIL,RAC,7,7,0.5,0.5142203833687119
1923-10-14,1923,H,MNN,OOR,23,0,1.0,0.6329477661711598
1923-10-21,1923,H,ARI,MNN,9,0,1.0,0.7853510265789966
1923-10-21,1923,H,DUL,HAM,3,0,1.0,0.4923632069960177
1923-10-21,1923,H,COL,LOU,34,0,1.0,0.5184928319370752
1923-10-21,1923,H,TOL,DAY,6,3,1.0,0.6599056863334548
1923-10-21,1923,H,CHI,CBD,0,6,0.0,0.4954237399164363
1923-10-21,1923,H,CIB,SLA,6,0,1.0,0.5904869177380409
1923-10-21,1923,H,BFF,OOR,57,0,1.0,0.8322873588075534
1923-10-21,1923,H,RAC,AKR,9,7,1.0,0.5977508127412162
1923-10-21,1923,H,GB,MIL,12,0,1.0,0.7059032709534374
