date,season,location,team1,team2,score1,score2,result
1921-10-23,1921,H,CTI,CCL,28,0,1.0
1921-10-23,1921,H,ARI,COL,17,6,1.0
1921-10-23,1921,H,CHI,DAY,7,0,1.0
1921-10-23,1921,H,DTI,RII,0,14,0.0
1921-10-30,1921,H,DAY,CTI,3,2,1.0
1921-10-30,1921,H,MNN,COL,28,0,1.0
1921-10-30,1921,H,GB,RII,3,13,0.0
1921-10-30,1921,H,AKR,RCH,19,0,1.0
1921-10-30,1921,H,BFF,DTI,21,0,1.0
1921-11-06,1921,H,RII,MNN,14,3,1.0
1921-11-06,1921,H,ARI,HAM,7,0,1.0
1921-11-06,1921,H,CHI,DTI,20,9,1.0
1921-11-06,1921,H,GB,ECG,43,6,1.0
1921-11-06,1921,H,CBD,DAY,14,0,1.0
1921-11-06,1921,H,BFF,CTI,10,6,1.0
1921-11-06,1921,H,COL,AKR,0,21,0.0
1921-11-06,1921,H,RCH,TON,45,0,1.0
1921-11-13,1921,H,GB,HAM,14,7,1.0
1921-11-13,1921,H,BFF,AKR,0,0,0.5
1921-11-13,1921,H,CTI,CBD,0,7,0.0
1921-11-13,1921,H,CHI,RII,3,0,1.0
1921-11-13,1921,H,DAY,DTI,27,0,1.0
1921-11-20,1921,H,RCH,COL,27,13,1.0
1921-11-20,1921,H,ARI,GB,3,3,0.5
1921-11-20,1921,H,CHI,CTI,22,7,1.0
1921-11-20,1921,H,BFF,CBD,7,7,0.5
1921-11-20,1921,H,DAY,AKR,3,0,1.0
1921-11-24,1921,H,AKR,CBD,0,14,0.0
1921-11-24,1921,H,CHI,BFF,6,7,0.0
1921-11-27,1921,H,CHI,GB,20,0,1.0
1921-11-27,1921,H,BFF,DAY,7,0,1.0
1921-11-27,1921,H,ECG,CCL,48,0,1.0
1921-11-27,1921,H,SEN,CBD,0,15,0.0
1921-12-03,1921,H,NG1,CTI,0,17,0.0
1921-12-03,1921,H,BFF,AKR,14,0,1.0
1921-12-04,1921,H,CHI,BFF,10,7,1.0
1921-12-04,1921,H,ARI,AKR,0,7,0.0
1921-12-04,1921,H,LOU,COL,0,6,0.0
1921-12-11,1921,H,SEN,CTI,7,0,1.0
1921-12-11,1921,H,CHI,CBD,10,0,1.0
1921-12-18,1921,H,SEN,CBD,14,28,0.0
1921-12-18,1921,H,CHI,ARI,0,0,0.5
1922-10-01,1922,H,BFF,HAM,7,0,1.0
1922-10-01,1922,H,DAY,OOR,36,0,1.0
1922-10-01,1922,H,ARI,MIL,3,0,1.0
1922-10-01,1922,H,CBD,LOU,38,0,1.0
1922-10-01,1922,H,RII,GB,19,14,1.0
1922-10-01,1922,H,AKR,COL,36,0,1.0
1922-10-01,1922,H,TOL,ECG,15,0,1.0
1922-10-01,1922,H,RAC,CHI,0,6,0.0
1922-10-08,1922,H,OOR,COL,20,6,1.0
1922-10-08,1922,H,DAY,CBD,0,0,0.5
1922-10-08,1922,H,GB,RAC,6,10,0.0
1922-10-08,1922,H,TOL,MIL,12,12,0.5
1922-10-08,1922,H,RII,CHI,6,10,0.0
1922-10-12,1922,H,AKR,RCH,13,13,0.5
1922-10-15,1922,H,CHI,RCH,7,0,1.0
1922-10-15,1922,H,MIL,RAC,20,0,1.0
1922-10-15,1922,H,CBD,OOR,14,0,1.0
1922-10-15,1922,H,DAY,MNN,17,0,1.0
1922-10-15,1922,H,TOL,HAM,14,0,1.0
1922-10-15,1922,H,ARI,GB,16,3,1.0
1922-10-15,1922,H,RII,ECG,60,0,1.0
1922-10-15,1922,H,BFF,COL,19,0,1.0
1922-10-22,1922,H,CHI,BFF,7,0,1.0
1922-10-22,1922,H,AKR,CBD,0,22,0.0
1922-10-22,1922,H,RAC,TOL,0,7,0.0
1922-10-22,1922,H,ARI,MNN,3,0,1.0
1922-10-22,1922,H,DAY,HAM,20,0,1.0
1922-10-22,1922,H,MIL,GB,0,0,0.5
1922-10-22,1922,H,RII,RCH,26,0,1.0
1922-10-29,1922,H,DAY,BFF,0,7,0.0
1922-10-29,1922,H,ARI,COL,37,6,1.0
1922-10-29,1922,H,GB,RII,0,0,0.5
1922-10-29,1922,H,RAC,RCH,9,0,1.0
1922-10-29,1922,H,AKR,OOR,62,0,1.0
1922-10-29,1922,H,TOL,LOU,39,0,1.0
1922-10-29,1922,H,MIL,HAM,0,0,0.5
1922-10-29,1922,H,CHI,CBD,6,7,0.0
1922-11-05,1922,H,AKR,HAM,22,0,1.0
1922-11-05,1922,H,ARI,BFF,9,7,1.0
1922-11-05,1922,H,GB,COL,3,0,1.0
1922-11-05,1922,H,CHI,DAY,9,0,1.0
1922-11-05,1922,H,RAC,LOU,57,0,1.0
1922-11-05,1922,H,MNN,OOR,13,6,1.0
1922-11-05,1922,H,CBD,TOL,0,0,0.5
1922-11-11,1922,H,RAC,COL,34,0,1.0
1922-11-12,1922,H,RII,DAY,43,0,1.0
1922-11-12,1922,H,CBD,BFF,3,0,1.0
1922-11-12,1922,H,LOU,ECG,13,6,1.0
1922-11-12,1922,H,GB,MNN,14,6,1.0
1922-11-12,1922,H,CHI,OOR,33,6,1.0
1922-11-12,1922,H,ARI,AKR,7,0,1.0
1922-11-19,1922,H,CHI,RII,3,0,1.0
1922-11-19,1922,H,ARI,CBD,0,7,0.0
1922-11-19,1922,H,BFF,AKR,3,3,0.5
1922-11-19,1922,H,MIL,OOR,13,0,1.0
1922-11-19,1922,H,RAC,GB,3,3,0.5
1922-11-26,1922,H,RAC,HAM,6,0,1.0
1922-11-26,1922,H,TOL,COL,7,6,1.0
1922-11-26,1922,H,CHI,AKR,20,10,1.0
1922-11-26,1922,H,BFF,OOR,7,19,0.0
1922-11-26,1922,H,GB,MIL,13,0,1.0
1922-11-26,1922,H,CBD,ARI,20,3,1.0
1922-11-30,1922,H,ARI,CHI,6,0,1.0
1922-11-30,1922,H,CBD,AKR,14,0,1.0
1922-11-30,1922,H,RAC,MIL,3,0,1.0
1922-11-30,1922,H,COL,OOR,6,18,0.0
1922-11-30,1922,H,RCH,BFF,0,21,0.0
1922-12-03,1922,H,RAC,GB,0,14,0.0
1922-12-03,1922,H,BFF,AKR,16,0,1.0
1922-12-03,1922,H,ARI,DAY,3,7,0.0
1922-12-03,1922,H,CHI,TOL,22,0,1.0
1922-12-03,1922,H,CBD,MIL,40,6,1.0
1922-12-10,1922,H,TOL,CBD,0,19,0.0
1922-12-10,1922,H,ARI,CHI,9,0,1.0
1923-09-30,1923,H,MIL,OOR,13,2,1.0
1923-09-30,1923,H,RAC,TOL,7,7,0.5
1923-09-30,1923,H,GB,MNN,12,0,1.0
1923-09-30,1923,H,DUL,AKR,10,7,1.0
1923-09-30,1923,H,ARI,BFF,3,0,1.0
1923-09-30,1923,H,RII,CHI,3,0,1.0
1923-09-30,1923,H,DAY,COL,7,6,1.0
1923-09-30,1923,H,CBD,HAM,17,0,1.0
1923-10-07,1923,H,HAM,DAY,7,0,1.0
1923-10-07,1923,H,MNN,DUL,0,10,0.0
1923-10-07,1923,H,CBD,LOU,37,0,1.0
1923-10-07,1923,H,ARI,RCH,60,0,1.0
1923-10-07,1923,H,GB,SLA,0,0,0.5
1923-10-07,1923,H,TOL,OOR,7,0,1.0
1923-10-07,1923,H,BFF,AKR,9,0,1.0
1923-10-07,1923,H,RAC,CHI,0,3,0.0
1923-10-07,1923,H,RII,CIB,0,0,0.5
1923-10-07,1923,H,MIL,COL,0,0,0.5
1923-10-14,1923,H,RII,RCH,56,0,1.0
1923-10-14,1923,H,ARI,AKR,19,0,1.0
1923-10-14,1923,H,COL,BFF,0,3,0.0
1923-10-14,1923,H,GB,CHI,0,3,0.0
1923-10-14,1923,H,CBD,DAY,30,0,1.0
1923-10-14,1923,H,SLA,HAM,0,0,0.5
1923-10-14,1923,H,MIL,RAC,7,7,0.5
1923-10-14,1923,H,MNN,OOR,23,0,1.0
1923-10-21,1923,H,ARI,MNN,9,0,1.0
1923-10-21,1923,H,DUL,HAM,3,0,1.0
1923-10-21,1923,H,COL,LOU,34,0,1.0
1923-10-21,1923,H,TOL,DAY,6,3,1.0
1923-10-21,1923,H,CHI,CBD,0,6,0.0
1923-10-21,1923,H,CIB,SLA,6,0,1.0
1923-10-21,1923,H,BFF,OOR,57,0,1.0
1923-10-21,1923,H,RAC,AKR,9,7,1.0
1923-10-21,1923,H,GB,MIL,12,0,1.0
1923-10-28,1923,H,MIL,SLA,6,0,1.0
1923-10-28,1923,H,CIB,OOR,27,0,1.0
1923-10-28,1923,H,DUL,MNN,9,0,1.0
1923-10-28,1923,H,ARI,DAY,13,3,1.0
1923-10-28,1923,H,CHI,BFF,18,3,1.0
1923-10-28,1923,H,CBD,AKR,7,3,1.0
1923-10-28,1923,H,TOL,COL,0,3,0.0
1923-10-28,1923,H,GB,RAC,3,24,0.0
1923-11-04,1923,H,CHI,OOR,26,0,1.0
1923-11-04,1923,H,RII,MIL,3,14,0.0
1923-11-04,1923,H,CIB,BFF,0,0,0.5
1923-11-04,1923,H,ARI,CBD,3,7,0.0
1923-11-04,1923,H,SLA,GB,0,3,0.0
1923-11-04,1923,H,MNN,RAC,13,6,1.0
1923-11-11,1923,H,RAC,GB,0,16,0.0
1923-11-11,1923,H,CIB,DAY,0,0,0.5
1923-11-11,1923,H,BFF,CBD,3,3,0.5
1923-11-11,1923,H,ARI,HAM,6,0,1.0
1923-11-11,1923,H,MNN,RII,6,6,0.5
1923-11-11,1923,H,COL,TOL,16,0,1.0
1923-11-11,1923,H,CHI,AKR,20,6,1.0
1923-11-11,1923,H,SLA,OOR,14,7,1.0
1923-11-11,1923,H,MIL,DUL,6,3,1.0
1923-11-18,1923,H,CIB,COL,9,3,1.0
1923-11-18,1923,H,ARI,DUL,10,0,1.0
1923-11-18,1923,H,BFF,DAY,3,0,1.0
1923-11-18,1923,H,CHI,RII,7,3,1.0
1923-11-18,1923,H,CBD,OOR,41,0,1.0
1923-11-18,1923,H,MIL,GB,7,10,0.0
1923-11-24,1923,H,SLA,MIL,0,17,0.0
1923-11-24,1923,H,RCH,TOL,6,12,0.0
1923-11-25,1923,H,ARI,RAC,4,10,0.0
1923-11-25,1923,H,BFF,TOL,3,3,0.5
1923-11-25,1923,H,GB,DUL,10,0,1.0
1923-11-25,1923,H,CIB,CBD,10,46,0.0
1923-11-25,1923,H,CHI,HAM,14,7,1.0
1923-11-25,1923,H,RII,MNN,6,6,0.5
1923-11-25,1923,H,COL,OOR,27,3,1.0
1923-11-29,1923,H,AKR,BFF,2,0,1.0
1923-11-29,1923,H,CHI,ARI,3,0,1.0
1923-11-29,1923,H,GB,HAM,19,0,1.0
1923-11-29,1923,H,RAC,MIL,0,16,0.0
1923-11-29,1923,H,CBD,TOL,28,0,1.0
1923-12-01,1923,H,RCH,BFF,0,13,0.0
1923-12-02,1923,H,COL,DAY,30,3,1.0
1923-12-02,1923,H,CHI,MIL,0,0,0.5
1923-12-02,1923,H,CBD,BFF,14,0,1.0
1923-12-02,1923,H,RAC,MNN,23,0,1.0
1923-12-02,1923,H,ARI,OOR,22,19,1.0
1923-12-09,1923,H,CHI,RII,29,7,1.0
1923-12-09,1923,H,COL,CBD,0,10,0.0
1923-12-09,1923,H,ARI,MIL,12,14,0.0
1923-12-09,1923,H,LOU,OOR,0,19,0.0
1924-09-27,1924,H,FYJ,RCH,21,0,1.0
1924-09-28,1924,H,ARI,MIL,17,7,1.0
1924-09-28,1924,H,DUL,GB,6,3,1.0
1924-09-28,1924,H,RAC,HAM,10,0,1.0
1924-09-28,1924,H,RII,CHI,0,0,0.5
1924-10-04,1924,H,FYJ,KEN,31,6,1.0
1924-10-05,1924,H,RII,RAC,9,0,1.0
1924-10-05,1924,H,RCH,AKR,0,3,0.0
1924-10-05,1924,H,CIB,CHI,16,14,1.0
1924-10-05,1924,H,BFF,COL,13,0,1.0
1924-10-05,1924,H,MNN,DUL,0,3,0.0
1924-10-05,1924,H,DAY,FYJ,19,7,1.0
1924-10-05,1924,H,ARI,GB,3,0,1.0
1924-10-05,1924,H,MIL,KCB,3,0,1.0
1924-10-11,1924,H,FYJ,CIB,3,3,0.5
1924-10-12,1924,H,ARI,MNN,13,0,1.0
1924-10-12,1924,H,CHI,RAC,10,10,0.5
1924-10-12,1924,H,GB,KCB,16,0,1.0
1924-10-12,1924,H,MIL,KEN,21,0,1.0
1924-10-12,1924,H,CIB,AKR,29,14,1.0
1924-10-12,1924,H,RCH,COL,7,15,0.0
1924-10-12,1924,H,BFF,DAY,0,7,0.0
1924-10-12,1924,H,RII,HAM,26,0,1.0
1924-10-18,1924,H,FYJ,COL,23,7,1.0
1924-10-19,1924,H,KEN,HAM,6,6,0.5
1924-10-19,1924,H,CHI,ARI,6,0,1.0
1924-10-19,1924,H,RII,DAY,20,0,1.0
1924-10-19,1924,H,RAC,KCB,13,3,1.0
1924-10-19,1924,H,BFF,RCH,26,0,1.0
1924-10-19,1924,H,GB,MIL,17,0,1.0
1924-10-26,1924,H,KCB,RII,23,7,1.0
1924-10-26,1924,H,CIB,RCH,59,0,1.0
1924-10-26,1924,H,DAY,COL,6,17,0.0
1924-10-26,1924,H,ARI,HAM,3,6,0.0
1924-10-26,1924,H,DUL,KEN,32,0,1.0
1924-10-26,1924,H,MIL,RAC,0,10,0.0
1924-10-26,1924,H,CHI,FYJ,33,3,1.0
1924-10-26,1924,H,GB,MNN,19,0,1.0
1924-10-26,1924,H,BFF,AKR,17,13,1.0
1924-11-01,1924,H,FYJ,AKR,23,0,1.0
1924-11-02,1924,H,CHI,RII,3,3,0.5
1924-11-02,1924,H,GB,RAC,6,3,1.0
1924-11-02,1924,H,ARI,MIL,8,17,0.0
1924-11-02,1924,H,BFF,FYJ,0,24,0.0
1924-11-02,1924,H,MNN,DUL,0,6,0.0
1924-11-02,1924,H,CIB,DAY,35,0,1.0
1924-11-02,1924,H,KCB,HAM,0,6,0.0
1924-11-02,1924,H,COL,AKR,30,0,1.0
1924-11-08,1924,H,FYJ,KCB,42,7,1.0
1924-11-09,1924,H,CHI,COL,12,6,1.0
1924-11-09,1924,H,RAC,RII,3,6,0.0
1924-11-09,1924,H,MIL,MNN,28,7,1.0
1924-11-09,1924,H,BFF,KEN,27,0,1.0
1924-11-09,1924,H,GB,DUL,13,0,1.0
1924-11-09,1924,H,ARI,DAY,23,0,1.0
1924-11-09,1924,H,AKR,CIB,7,20,0.0
1924-11-11,1924,H,KCB,MIL,7,3,1.0
1924-11-15,1924,H,FYJ,MNN,39,7,1.0
1924-11-16,1924,H,CHI,RAC,3,3,0.5
1924-11-16,1924,H,BFF,DAY,14,6,1.0
1924-11-16,1924,H,CIB,FYJ,7,12,0.0
1924-11-16,1924,H,MIL,GB,10,17,0.0
1924-11-16,1924,H,RII,KCB,17,0,1.0
1924-11-16,1924,H,COL,RCH,16,0,1.0
1924-11-16,1924,H,ARI,AKR,13,0,1.0
1924-11-22,1924,H,RCH,BFF,0,16,0.0
1924-11-22,1924,H,FYJ,MIL,21,6,1.0
1924-11-23,1924,H,BFF,MIL,0,23,0.0
1924-11-23,1924,H,CIB,COL,7,0,1.0
1924-11-23,1924,H,RII,DUL,0,9,0.0
1924-11-23,1924,H,ARI,RAC,10,10,0.5
1924-11-23,1924,H,CHI,GB,3,0,1.0
1924-11-27,1924,H,CIB,MIL,53,10,1.0
1924-11-27,1924,H,FYJ,DAY,32,7,1.0
1924-11-27,1924,H,ARI,CHI,0,21,0.0
1924-11-27,1924,H,AKR,BFF,22,0,1.0
1924-11-27,1924,H,KCB,GB,6,17,0.0
1924-11-29,1924,H,FYJ,BFF,45,7,1.0
1924-11-30,1924,H,CHI,MIL,31,14,1.0
1924-11-30,1924,H,RAC,GB,7,0,1.0
1925-09-20,1925,H,GB,HAM,14,0,1.0
1925-09-20,1925,H,RII,CHI,0,0,0.5
1925-09-26,1925,H,FYJ,BFF,27,7,1.0
1925-09-27,1925,H,DPN,COL,7,0,1.0
1925-09-27,1925,H,AKR,CIB,7,0,1.0
1925-09-27,1925,H,GB,CHI,14,10,1.0
1925-09-27,1925,H,ARI,HAM,6,10,0.0
1925-09-27,1925,H,CBD,RCH,14,7,1.0
1925-09-27,1925,H,PTB,BFF,28,0,1.0
1925-09-27,1925,H,DUL,KCB,0,3,0.0
1925-09-27,1925,H,RII,DAY,0,0,0.5
1925-10-03,1925,H,FYJ,PRV,7,0,1.0
1925-10-04,1925,H,BFF,RCH,0,0,0.5
1925-10-04,1925,H,DPN,CHI,0,0,0.5
1925-10-04,1925,H,CIB,COL,3,0,1.0
1925-10-04,1925,H,CBD,DAY,14,0,1.0
1925-10-04,1925,H,AKR,KCB,14,7,1.0
1925-10-04,1925,H,RII,GB,3,0,1.0
1925-10-04,1925,H,ARI,MIL,34,0,1.0
1925-10-04,1925,H,PTB,PRV,0,6,0.0
1925-10-10,1925,H,FYJ,CBD,12,7,1.0
1925-10-11,1925,H,BFF,AKR,0,0,0.5
1925-10-11,1925,H,PRV,NYG,14,0,1.0
1925-10-11,1925,H,GB,MIL,31,0,1.0
1925-10-11,1925,H,CHI,HAM,28,7,1.0
1925-10-11,1925,H,DUL,RII,0,12,0.0
1925-10-11,1925,H,DPN,FYJ,3,0,1.0
1925-10-11,1925,H,ARI,COL,19,9,1.0
1925-10-11,1925,H,PTB,CBD,28,0,1.0
1925-10-11,1925,H,CIB,KCB,16,13,1.0
1925-10-17,1925,H,FYJ,NYG,5,3,1.0
1925-10-18,1925,H,DPN,DAY,6,0,1.0
1925-10-18,1925,H,GB,RII,20,0,1.0
1925-10-18,1925,H,PRV,PTB,0,34,0.0
1925-10-18,1925,H,ARI,KCB,20,7,1.0
1925-10-18,1925,H,BFF,COL,17,6,1.0
1925-10-18,1925,H,CHI,CIB,7,0,1.0
1925-10-18,1925,H,CBD,AKR,3,20,0.0
1925-10-18,1925,H,NYG,FYJ,0,14,0.0
1925-10-24,1925,H,FYJ,DAY,3,0,1.0
1925-10-25,1925,H,DPN,AKR,0,0,0.5
1925-10-25,1925,H,GB,RCH,33,13,1.0
1925-10-25,1925,H,ARI,CHI,9,0,1.0
1925-10-25,1925,H,RII,KCB,3,3,0.5
1925-10-31,1925,H,FYJ,COL,19,0,1.0
1925-11-01,1925,H,BFF,FYJ,3,12,0.0
1925-11-01,1925,H,PRV,RCH,17,0,1.0
1925-11-01,1925,H,NYG,CIB,19,0,1.0
1925-11-01,1925,H,PTB,COL,20,0,1.0
1925-11-01,1925,H,AKR,DAY,17,3,1.0
1925-11-01,1925,H,ARI,DUL,10,6,1.0
1925-11-01,1925,H,MIL,GB,0,6,0.0
1925-11-01,1925,H,CHI,RII,6,0,1.0
1925-11-01,1925,H,DPN,HAM,26,6,1.0
1925-11-03,1925,H,NYG,BFF,7,0,1.0
1925-11-07,1925,H,FYJ,AKR,17,7,1.0
1925-11-08,1925,H,DPN,MIL,21,0,1.0
1925-11-08,1925,H,ARI,GB,9,6,1.0
1925-11-08,1925,H,CHI,FYJ,19,0,1.0
1925-11-08,1925,H,NYG,COL,19,0,1.0
