date,team1,team2,moneyline1,moneyline2,score,score2,implied_prob,result,accuracy
2019-10-06,NYG,MIN,201.0,-247.0,10.0,28.0,0.3182114134272378,0.0,1.0
2019-10-06,CAR,JAC,-181.0,158.0,34.0,27.0,0.6243215059226184,1.0,1.0
2019-10-06,OAK,CHI,252.0,-312.0,24.0,21.0,0.2728043224917893,1.0,0.0
2019-10-06,PHI,NYJ,-900.0,610.0,31.0,6.0,0.86468200270636,1.0,1.0
2019-10-06,NO,TB,-162.0,140.0,31.0,24.0,0.5974185617701291,1.0,1.0
2019-10-06,CIN,ARI,-159.0,137.0,23.0,26.0,0.5926584149851376,0.0,0.0
2019-10-06,TEN,BUF,-179.0,156.0,7.0,14.0,0.6215614996473333,0.0,0.0
2019-10-06,HOU,ATL,-210.0,174.0,53.0,32.0,0.6498757623672917,1.0,1.0
2019-10-06,WAS,NE,761.0,-1234.0,7.0,33.0,0.11155021348402927,0.0,1.0
2019-10-06,PIT,BAL,154.0,-178.0,23.0,26.0,0.3807593272338793,0.0,1.0
2019-10-06,LAC,DEN,-230.0,189.0,13.0,20.0,0.6682416809088167,0.0,0.0
2019-10-06,DAL,GB,-181.0,158.0,24.0,34.0,0.6243215059226184,0.0,0.0
2019-10-06,KC,IND,-631.0,457.0,13.0,19.0,0.8278245836346207,0.0,0.0
2019-10-07,SF,CLE,-222.0,184.0,31.0,3.0,0.6619351587434907,1.0,1.0
2019-10-10,NE,NYG,-1353.0,799.0,35.0,14.0,0.8932909924525226,1.0,1.0
2019-10-13,TB,CAR,110.0,-130.0,26.0,37.0,0.4572564612326043,0.0,1.0
2019-10-13,CLE,SEA,-116.0,-104.0,28.0,32.0,0.5130072840790845,0.0,0.0
2019-10-13,BAL,CIN,-572.0,427.0,23.0,17.0,0.8177103113030458,1.0,1.0
2019-10-13,KC,HOU,-198.0,168.0,24.0,31.0,0.6403745896891292,0.0,0.0
2019-10-13,MIA,WAS,208.0,-249.0,16.0,17.0,0.31274643343608854,0.0,1.0
2019-10-13,MIN,PHI,-178.0,155.0,38.0,20.0,0.6201666894384479,1.0,1.0
2019-10-13,JAC,NO,-151.0,130.0,6.0,13.0,0.5804780210596692,0.0,0.0
2019-10-13,ARI,ATL,140.0,-161.0,34.0,33.0,0.40315106580166815,1.0,0.0
2019-10-13,LAR,SF,-167.0,145.0,7.0,20.0,0.6051172077201804,0.0,0.0
2019-10-13,NYJ,DAL,277.0,-351.0,24.0,22.0,0.254189046762894,1.0,0.0
2019-10-13,DEN,TEN,-121.0,101.0,16.0,0.0,0.5239223627237672,1.0,1.0
2019-10-13,LAC,PIT,-288.0,236.0,17.0,24.0,0.713796766198513,0.0,0.0
2019-10-14,GB,DET,-194.0,166.0,23.0,22.0,0.6370549602488766,1.0,1.0
2019-10-17,DEN,KC,135.0,-157.0,6.0,30.0,0.4105759245946161,0.0,1.0
2019-10-20,DET,MIN,122.0,-143.0,30.0,42.0,0.4335724226528209,0.0,1.0
2019-10-20,ATL,LAR,150.0,-174.0,10.0,37.0,0.3864598025387871,0.0,1.0
2019-10-20,BUF,MIA,-1453.0,841.0,31.0,21.0,0.8980016064911174,1.0,1.0
2019-10-20,GB,OAK,-257.0,212.0,42.0,24.0,0.6919333126229679,1.0,1.0
2019-10-20,WAS,SF,372.0,-488.0,0.0,9.0,0.2033645066681422,0.0,1.0
2019-10-20,NYG,ARI,-192.0,165.0,21.0,27.0,0.6353646353646353,0.0,0.0
2019-10-20,CIN,JAC,182.0,-220.0,17.0,27.0,0.340280731603573,0.0,1.0
2019-10-20,IND,HOU,-124.0,104.0,30.0,23.0,0.530358939953036,1.0,1.0
2019-10-20,TEN,LAC,-157.0,135.0,23.0,20.0,0.5894240754053839,1.0,1.0
2019-10-20,SEA,BAL,-156.0,132.0,16.0,30.0,0.5857068876229932,0.0,0.0
2019-10-20,CHI,NO,-226.0,185.0,25.0,36.0,0.663952169879394,0.0,0.0
2019-10-20,DAL,PHI,-163.0,140.0,37.0,10.0,0.5979822684194436,1.0,1.0
2019-10-21,NYJ,NE,340.0,-450.0,0.0,33.0,0.21739130434782605,0.0,1.0
2019-10-24,MIN,WAS,-1371.0,798.0,19.0,9.0,0.8932710711637444,1.0,1.0
2019-10-27,LAR,CIN,-700.0,496.0,24.0,10.0,0.839098954143202,1.0,1.0
2019-10-27,IND,DEN,-252.0,206.0,15.0,13.0,0.6865873637723485,1.0,1.0
2019-10-27,NO,ARI,-714.0,504.0,31.0,9.0,0.8412190630754346,1.0,1.0
2019-10-27,DET,NYG,-275.0,226.0,31.0,26.0,0.705072748721982,1.0,1.0
2019-10-27,CHI,LAC,-185.0,160.0,16.0,17.0,0.6279373368146214,0.0,0.0
2019-10-27,BUF,PHI,-116.0,-104.0,13.0,31.0,0.5130072840790845,0.0,0.0
2019-10-27,TEN,TB,-129.0,108.0,27.0,23.0,0.5395318909354139,1.0,1.0
2019-10-27,ATL,SEA,287.0,-360.0,20.0,27.0,0.24821929635225548,0.0,1.0
2019-10-27,JAC,NYJ,-321.0,258.0,29.0,15.0,0.7318778738743329,1.0,1.0
2019-10-27,SF,CAR,-212.0,177.0,51.0,13.0,0.6530403451803746,1.0,1.0
2019-10-27,HOU,OAK,-243.0,199.0,27.0,24.0,0.6793103770674197,1.0,1.0
2019-10-27,NE,CLE,-451.0,352.0,27.0,13.0,0.787219252988971,1.0,1.0
2019-10-27,KC,GB,202.0,-247.0,24.0,31.0,0.31749226856003077,0.0,1.0
2019-10-28,PIT,MIA,-836.0,565.0,27.0,14.0,0.855898020137328,1.0,1.0
2019-10-31,ARI,SF,391.0,-513.0,25.0,28.0,0.1957322076868796,0.0,1.0
