date,team1,team2,moneyline1,moneyline2,implied_prob
2019-10-20,GB,OAK,212,-257,0.3080666873770322
2019-10-20,WAS,SF,-488,372,0.7966354933318578
2019-10-20,NYG,ARI,165,-192,0.3646353646353647
2019-10-20,CIN,JAC,-220,182,0.659719268396427
2019-10-20,IND,HOU,104,-124,0.46964106004696404
2019-10-20,TEN,LAC,135,-157,0.41057592459461617
2019-10-20,SEA,BAL,132,-156,0.4142931123770068
2019-10-20,CHI,NO,185,-226,0.33604783012060613
2019-10-20,DAL,PHI,140,-163,0.4020177315805564
2019-10-21,NYJ,NE,-450,340,0.782608695652174
2019-10-24,MIN,WAS,798,-1371,0.10672892883625562
2019-10-27,LAR,CIN,496,-700,0.16090104585679807
2019-10-27,IND,DEN,206,-252,0.31341263622765153
2019-10-27,NO,ARI,504,-714,0.15878093692456544
2019-10-27,DET,NYG,226,-275,0.29492725127801805
2019-10-27,CHI,LAC,160,-185,0.3720626631853786
2019-10-27,BUF,PHI,-104,-116,0.48699271592091564
2019-10-27,TEN,TB,108,-129,0.46046810906458624
2019-10-27,ATL,SEA,-360,287,0.7517807036477445
2019-10-27,JAC,NYJ,258,-321,0.2681221261256671
2019-10-27,SF,CAR,177,-212,0.3469596548196255
2019-10-27,HOU,OAK,199,-243,0.32068962293258035
2019-10-27,NE,CLE,352,-451,0.21278074701102906
2019-10-27,KC,GB,-247,202,0.6825077314399692
2019-10-28,PIT,MIA,565,-836,0.144101979862672
2019-10-31,ARI,SF,-513,391,0.8042677923131204
2019-11-03,JAC,HOU,-102,-118,0.4826358742837298
2019-11-03,MIA,NYJ,-184,159,0.6265909329967392
2019-11-03,PIT,IND,102,-122,0.4739134147382802
2019-11-03,PHI,CHI,201,-248,0.31795921350778455
2019-11-03,KC,MIN,-246,202,0.6822539764170004
2019-11-03,BUF,WAS,430,-573,0.181406506913933
2019-11-03,CAR,TEN,161,-187,0.3702891351748875
2019-11-03,OAK,DET,124,-145,0.42997542997543003
2019-11-03,SEA,TB,182,-220,0.3402807316035729
2019-11-03,DEN,CLE,-203,172,0.645680340521072
2019-11-03,LAC,GB,-218,180,0.6574752261956054
2019-11-03,BAL,NE,-164,141,0.5995388629330745
2019-11-04,NYG,DAL,-315,250,0.7265238879736409
2019-11-07,OAK,LAC,-122,101,0.524849107486837
2019-11-10,CIN,BAL,-587,435,0.8205071261544893
2019-11-10,CLE,BUF,142,-165,0.39891615234080985
2019-11-10,NO,ATL,594,-905,0.1379414469440136
2019-11-10,NYJ,NYG,-153,132,0.583854200934272
2019-11-10,TB,ARI,202,-245,0.3180016591390912
2019-11-10,TEN,KC,-252,208,0.68798751950078
2019-11-10,CHI,DET,244,-299,0.27949788450222757
2019-11-10,IND,MIA,443,-602,0.1767878998504102
2019-11-10,GB,CAR,197,-241,0.32268137816175707
2019-11-10,PIT,LAR,-226,186,0.664733226377062
2019-11-10,DAL,MIN,156,-180,0.3779697624190065
2019-11-11,SF,SEA,213,-260,0.3066962003748509
2019-11-14,CLE,PIT,137,-159,0.40734158501486245
2019-11-17,MIN,DEN,378,-496,0.2008844307825055
2019-11-17,BAL,HOU,190,-234,0.32984396602804666
2019-11-17,MIA,BUF,-341,273,0.7425463971090471
2019-11-17,TB,NO,-235,192,0.6719545632589111
2019-11-17,WAS,NYJ,106,-126,0.4654419639179504
2019-11-17,DET,DAL,-376,298,0.7586794289422454
2019-11-17,IND,JAC,119,-140,0.43907793633369924
2019-11-17,CAR,ATL,171,-203,0.3551627536248872
2019-11-17,SF,ARI,370,-482,0.204396993748683
2019-11-17,OAK,CIN,515,-742,0.1557730375742327
2019-11-17,PHI,NE,-226,186,0.664733226377062
2019-11-17,LAR,CHI,208,-253,0.31177135589627636
2019-11-18,LAC,KC,-259,215,0.694429076052262
2019-11-21,HOU,IND,167,-194,0.36207788369171656
2019-11-24,CLE,MIA,426,-575,0.18245708879578318
2019-11-24,BUF,DEN,173,-206,0.352380294341187
2019-11-24,NYJ,OAK,-185,159,0.6270365765883662
2019-11-24,NO,CAR,394,-519,0.19447917910307083
2019-11-24,ATL,TB,154,-180,0.37981551817688547
2019-11-24,PHI,SEA,-124,103,0.5291347851677457
2019-11-24,WAS,DET,-203,171,0.6448372463751129
2019-11-24,CIN,PIT,-265,216,0.6964404524284763
2019-11-24,CHI,NYG,219,-268,0.30091911163444873
2019-11-24,TEN,JAC,180,-217,0.3428509625784123
2019-11-24,NE,DAL,201,-243,0.3192390383738354
2019-11-24,SF,GB,147,-171,0.39084471494295975
2019-11-25,LAR,BAL,-174,149,0.6125894296298392
2019-11-28,DET,CHI,-258,212,0.6921648208020912
2019-11-28,DAL,BUF,245,-303,0.2782476611316325
2019-11-28,ATL,NO,-352,280,0.7474295932051855
2019-12-01,NYG,GB,-309,250,0.7255954377725596
2019-12-01,MIA,PHI,-530,400,0.8079268292682926
2019-12-01,IND,TEN,-116,-104,0.5130072840790842
2019-12-01,CIN,NYJ,-141,120,0.5627721335268505
2019-12-01,BAL,SF,205,-250,0.31460674157303364
2019-12-01,PIT,CLE,-121,101,0.5239223627237674
2019-12-01,CAR,WAS,431,-587,0.18060079338165128
2019-12-01,JAC,TB,-161,138,0.5948337421217672
2019-12-01,ARI,LAR,-141,120,0.5627721335268505
2019-12-01,KC,OAK,434,-588,0.17973207381554476
2019-12-01,DEN,LAC,-220,181,0.6589213387337455
2019-12-01,HOU,NE,-177,152,0.6168953308254039
2019-12-02,SEA,MIN,133,-155,0.4138602613000082
2019-12-05,CHI,DAL,-167,144,0.6041394852330684
2019-12-08,CLE,CIN,239,-291,0.2838496105234884
2019-12-08,NO,SF,104,-125,0.46874999999999994
2019-12-08,GB,WAS,594,-904,0.13795453546146066
2019-12-08,BUF,BAL,-271,222,0.7016773612518293
2019-12-08,MIN,DET,494,-697,0.1614281837000069
2019-12-08,HOU,DEN,329,-420,0.22396416573348266
2019-12-08,ATL,CAR,160,-187,0.3711846870150026
2019-12-08,TB,IND,148,-174,0.3883660278943191
2019-12-08,NYJ,MIA,186,-227,0.3349654790928274
2019-12-08,JAC,LAC,-181,155,0.6215743047606223
2019-12-08,OAK,TEN,-153,130,0.5817490494296578
2019-12-08,NE,KC,136,-161,0.40720169745381923
2019-12-08,ARI,PIT,-131,110,0.5435684647302904
2019-12-08,LAR,SEA,-103,-118,0.48383899327702123
2019-12-09,PHI,NYG,339,-440,0.21848195500890114
2019-12-12,BAL,NYJ,832,-1440,0.10293567188920379
2019-12-15,DET,TB,-258,211,0.6914803771178406
2019-12-15,KC,DEN,364,-476,0.20684900022983224
2019-12-15,CAR,SEA,-272,223,0.7025332650972365
2019-12-15,GB,CHI,181,-221,0.3407607137928472
2019-12-15,NYG,MIA,159,-184,0.3734090670032607
2019-12-15,WAS,PHI,-303,245,0.7217523388683674
2019-12-15,TEN,HOU,142,-166,0.3983705744923021
2019-12-15,CIN,NE,-559,418,0.8146074685901727
2019-12-15,ARI,CLE,-159,136,0.5916372351160444
2019-12-15,OAK,JAC,248,-310,0.27538957549704457
2019-12-15,LAC,MIN,-123,102,0.5270012302210156
2019-12-15,DAL,LAR,-113,-105,0.5087854162090929
2019-12-15,SF,ATL,384,-507,0.1983089830375578
2019-12-15,PIT,BUF,-103,-117,0.48481627695110846
2019-12-16,NO,IND,315,-402,0.23130442795926828
2019-12-21,TB,HOU,-157,134,0.5883916845510747
2019-12-21,NE,BUF,241,-298,0.2814351779830008
2019-12-21,SF,LAR,265,-335,0.26240386065450155
2019-12-22,WAS,NYG,-124,103,0.5291347851677457
2019-12-22,MIA,CIN,-129,108,0.5395318909354139
2019-12-22,CLE,BAL,-475,362,0.7923812962628632
2019-12-22,TEN,NO,-182,157,0.6238696081308187
2019-12-22,IND,CAR,254,-319,0.2706263805820728
2019-12-22,ATL,JAC,271,-342,0.2583556423235641
2019-12-22,NYJ,PIT,-179,153,0.6187847568557258
2019-12-22,DEN,DET,292,-376,0.24411257897759908
2019-12-22,LAC,OAK,278,-351,0.2536871828910213
2019-12-22,SEA,ARI,324,-416,0.22633167239806304
2019-12-22,PHI,DAL,-138,117,0.5571763480072937
2019-12-22,CHI,KC,-316,254,0.7289266538080592
2019-12-23,MIN,GB,173,-207,0.3520198140142872
2019-12-29,NE,MIA,815,-1441,0.10464377994248326
2019-12-29,CAR,NO,-879,586,0.8603212468647184
2019-12-29,KC,LAC,355,-469,0.2105107382674485
2019-12-29,MIN,CHI,-230,189,0.6682416809088167
2019-12-29,CIN,CLE,-144,122,0.5671302866874822
2019-12-29,BUF,NYJ,-118,-101,0.5185849221619729
2019-12-29,TB,ATL,-101,-119,0.4804509318389157
2019-12-29,DET,GB,-819,554,0.8535518847027853
2019-12-29,JAC,IND,-248,204,0.6841875998257587
2019-12-29,LAR,ARI,249,-309,0.27497462031316183
2019-12-29,BAL,PIT,-124,104,0.5303589399530358
2019-12-29,HOU,TEN,-456,353,0.7879222483293156
2019-12-29,DEN,OAK,180,-218,0.34252477380439467
2019-12-29,DAL,WAS,486,-679,0.16372631853281044
2019-12-29,NYG,PHI,-204,172,0.6460506706408345
2019-12-29,SEA,SF,-185,159,0.6270365765883662
