date,season,location,team1,team2,score1,score2,result
2023-09-24,2023,H,CHE,AVA,0,1,0.0
2023-09-24,2023,A,BOU,BRH,1,3,0.0
2023-09-24,2023,A,NEW,SHU,8,0,1.0
2023-09-24,2023,A,WHU,LIV,1,3,0.0
2023-09-24,2023,A,AVA,CHE,1,0,1.0
2023-09-30,2023,H,AVA,BRH,6,1,1.0
2023-09-30,2023,H,BOU,ARS,0,4,0.0
2023-09-30,2023,H,EVE,LUT,1,2,0.0
2023-09-30,2023,H,MUN,CRY,0,1,0.0
2023-09-30,2023,H,NEW,BUR,2,0,1.0
2023-09-30,2023,H,WHU,SHU,2,0,1.0
2023-09-30,2023,A,MNC,WLV,1,2,0.0
2023-09-30,2023,A,SHU,WHU,0,2,0.0
2023-09-30,2023,A,BRH,AVA,1,6,0.0
2023-09-30,2023,A,ARS,BOU,4,0,1.0
2023-09-30,2023,A,LUT,EVE,2,1,1.0
2023-09-30,2023,A,CRY,MUN,1,0,1.0
2023-09-30,2023,A,BUR,NEW,0,2,0.0
2023-09-30,2023,A,LIV,TOT,1,2,0.0
2023-09-30,2023,H,WLV,MNC,2,1,1.0
2023-09-30,2023,H,TOT,LIV,2,1,1.0
2023-10-01,2023,H,NTG,BRE,1,1,0.5
2023-10-01,2023,A,BRE,NTG,1,1,0.5
2023-10-02,2023,A,CHE,FUL,2,0,1.0
2023-10-02,2023,H,FUL,CHE,0,2,0.0
2023-10-03,2023,A,BUR,LUT,2,1,1.0
2023-10-03,2023,H,LUT,BUR,1,2,0.0
2023-10-07,2023,A,SHU,FUL,1,3,0.0
2023-10-07,2023,A,CHE,BUR,4,1,1.0
2023-10-07,2023,A,TOT,LUT,1,0,1.0
2023-10-07,2023,A,BOU,EVE,0,3,0.0
2023-10-07,2023,A,NTG,CRY,0,0,0.5
2023-10-07,2023,H,LUT,TOT,0,1,0.0
2023-10-07,2023,H,BUR,CHE,1,4,0.0
2023-10-07,2023,H,EVE,BOU,3,0,1.0
2023-10-07,2023,H,FUL,SHU,3,1,1.0
2023-10-07,2023,H,MUN,BRE,2,1,1.0
2023-10-07,2023,A,BRE,MUN,1,2,0.0
2023-10-07,2023,H,CRY,NTG,0,0,0.5
2023-10-08,2023,A,NEW,WHU,2,2,0.5
2023-10-08,2023,H,BRH,LIV,2,2,0.5
2023-10-08,2023,H,WHU,NEW,2,2,0.5
2023-10-08,2023,H,WLV,AVA,1,1,0.5
2023-10-08,2023,H,ARS,MNC,1,0,1.0
2023-10-08,2023,A,MNC,ARS,0,1,0.0
2023-10-08,2023,A,AVA,WLV,1,1,0.5
2023-10-08,2023,A,LIV,BRH,2,2,0.5
2023-10-21,2023,A,LUT,NTG,2,2,0.5
2023-10-21,2023,A,CRY,NEW,0,4,0.0
2023-10-21,2023,A,BUR,BRE,0,3,0.0
2023-10-21,2023,A,WLV,BOU,2,1,1.0
2023-10-21,2023,A,EVE,LIV,0,2,0.0
2023-10-21,2023,A,BRH,MNC,1,2,0.0
2023-10-21,2023,A,MUN,SHU,2,1,1.0
2023-10-21,2023,A,ARS,CHE,2,2,0.5
2023-10-21,2023,H,SHU,MUN,1,2,0.0
2023-10-21,2023,H,CHE,ARS,2,2,0.5
2023-10-21,2023,H,NTG,LUT,2,2,0.5
2023-10-21,2023,H,NEW,CRY,4,0,1.0
2023-10-21,2023,H,MNC,BRH,2,1,1.0
2023-10-21,2023,H,BRE,BUR,3,0,1.0
2023-10-21,2023,H,BOU,WLV,1,2,0.0
2023-10-21,2023,H,LIV,EVE,2,0,1.0
2023-10-22,2023,A,WHU,AVA,1,4,0.0
2023-10-22,2023,H,AVA,WHU,4,1,1.0
2023-10-23,2023,H,TOT,FUL,2,0,1.0
2023-10-23,2023,A,FUL,TOT,0,2,0.0
